dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,psnr,ssim,lpips,success,jpeg_cosine,blur_cosine,resize_cosine,relaxed_success,runtime_sec
LFW,lfw_11278,Donald Rumsfeld,0,Random Noise,0.047058823529411764,35,0.125,0.9924314022064209,34.74906202458851,0.8962764910629922,0.22417950630187988,False,0.9926213622093201,0.9963513612747192,0.9966217279434204,False,5.120038986206055e-05
LFW,lfw_01820,Conan OBrien,0,Random Noise,0.047058823529411764,35,0.125,0.9945635795593262,34.75627921696535,0.8852460082695783,0.20096571743488312,False,0.9910832643508911,0.996254563331604,0.9965071678161621,False,5.120038986206055e-05
LFW,lfw_02248,Pedro Martinez,0,Random Noise,0.047058823529411764,35,0.125,0.9795926809310913,34.74311434724217,0.8659914329332952,0.318818598985672,False,0.9770097732543945,0.9919655919075012,0.9875466823577881,False,5.120038986206055e-05
LFW,lfw_02556,Maria Sanchez Lorenzo,0,Random Noise,0.047058823529411764,35,0.125,0.9053480625152588,34.78338341531468,0.8577663644473628,0.2711954712867737,False,0.9232549667358398,0.9850742220878601,0.955118715763092,False,5.120038986206055e-05
LFW,lfw_01754,George W Bush,0,Random Noise,0.047058823529411764,35,0.125,0.8976443409919739,34.76718295241718,0.8481992172240623,0.32204580307006836,False,0.8751834034919739,0.9760810732841492,0.9169003367424011,False,5.120038986206055e-05
LFW,lfw_12211,Arnold Schwarzenegger,0,Random Noise,0.047058823529411764,35,0.125,0.9923017024993896,34.74448714073111,0.8758126064335802,0.22917506098747253,False,0.9872218370437622,0.9925552606582642,0.9918062090873718,False,5.120038986206055e-05
LFW,lfw_03454,Gregorio Honasan,0,Random Noise,0.047058823529411764,35,0.125,0.9946733117103577,34.75221093025362,0.8981125267735951,0.18635505437850952,False,0.9936137795448303,0.9925453662872314,0.9966223239898682,False,5.120038986206055e-05
LFW,lfw_07819,Tariq Aziz,0,Random Noise,0.047058823529411764,35,0.125,0.9941270351409912,34.87653677762785,0.9057581839122832,0.15929368138313293,False,0.9915511608123779,0.9892587661743164,0.9952421188354492,False,0.0002200007438659668
LFW,lfw_08555,Guus Hiddink,0,Random Noise,0.047058823529411764,35,0.125,0.990081787109375,34.75204671163785,0.8496307826068764,0.34323757886886597,False,0.987973153591156,0.9960472583770752,0.9950093030929565,False,0.0002200007438659668
LFW,lfw_07951,Betsy Coffin,0,Random Noise,0.047058823529411764,35,0.125,0.9867070317268372,34.758504173500356,0.8879958564371478,0.2735137939453125,False,0.9863840341567993,0.9969629645347595,0.9923232197761536,False,0.0002200007438659668
LFW,lfw_09503,Angelina Jolie,0,Random Noise,0.047058823529411764,35,0.125,0.9760595560073853,34.77542804432958,0.8977252820245593,0.17245492339134216,False,0.9698631167411804,0.9769752025604248,0.9849373698234558,False,0.0002200007438659668
LFW,lfw_07557,Tom Ridge,0,Random Noise,0.047058823529411764,35,0.125,0.9950106143951416,34.76840836748963,0.8731564182833345,0.19051755964756012,False,0.9926903247833252,0.9919620156288147,0.9959810972213745,False,0.0002200007438659668
