dataset,image_id,identity_id,seed,method,epsilon,steps,step_ratio,cosine_similarity,psnr,ssim,lpips,success,jpeg_cosine,blur_cosine,resize_cosine,relaxed_success,runtime_sec
LFW,lfw_00318,Todd Haynes,0,FaceGuard,0.047058823529411764,35,0.125,-0.9192167520523071,33.15882793790126,0.8598879279991806,0.3075510561466217,True,-0.8631126880645752,-0.8215432167053223,-0.9120199680328369,True,1.3990133106708527
LFW,lfw_10799,John Negroponte,0,FaceGuard,0.047058823529411764,35,0.125,-0.9469311237335205,33.21416567628678,0.8359178755389275,0.38433733582496643,True,-0.9101053476333618,-0.8774152398109436,-0.9362386465072632,True,1.3990133106708527
LFW,lfw_03825,Diana Krall,0,FaceGuard,0.047058823529411764,35,0.125,-0.8559514284133911,32.857930670818,0.840641706934432,0.2551047205924988,True,-0.7589061260223389,-0.6956565380096436,-0.8363285064697266,True,1.3990133106708527
LFW,lfw_12536,Michael Chiklis,0,FaceGuard,0.047058823529411764,35,0.125,-0.935356855392456,33.55235928811745,0.8393715884510323,0.41195887327194214,True,-0.9120421409606934,-0.8763347268104553,-0.9206533432006836,True,1.3990133106708527
LFW,lfw_12849,Michael Schumacher,0,FaceGuard,0.047058823529411764,35,0.125,-0.8676697015762329,33.24167787242353,0.8196727005306782,0.3179396092891693,True,-0.7274491786956787,-0.7561080455780029,-0.8565306663513184,True,1.3990133106708527
LFW,lfw_07619,Dennis Kucinich,0,FaceGuard,0.047058823529411764,35,0.125,-0.8817095756530762,33.13753605448993,0.8841036192344741,0.23788590729236603,True,-0.8410479426383972,-0.8034138679504395,-0.8767189979553223,True,1.3990133106708527
LFW,lfw_10531,Constance Marie,0,FaceGuard,0.047058823529411764,35,0.125,-0.9327871799468994,33.127250883899,0.8825351745306754,0.2624302804470062,True,-0.9094956517219543,-0.8949809670448303,-0.9224874973297119,True,1.3990133106708527
LFW,lfw_09001,John Travolta,0,FaceGuard,0.047058823529411764,35,0.125,-0.9504038095474243,33.51279404471187,0.8281351968940965,0.420504629611969,True,-0.9458409547805786,-0.9452910423278809,-0.9494494199752808,True,1.3990133106708527
LFW,lfw_04038,John Negroponte,0,FaceGuard,0.047058823529411764,35,0.125,-0.8348199129104614,32.804247987958405,0.881007590293622,0.1552756130695343,True,-0.7682162523269653,-0.7323354482650757,-0.822312593460083,True,1.4295208752155304
LFW,lfw_05975,Goran Persson,0,FaceGuard,0.047058823529411764,35,0.125,-0.8837188482284546,32.83511594635915,0.8568604694637819,0.2793099880218506,True,-0.8040457367897034,-0.7799368500709534,-0.8626432418823242,True,1.4295208752155304
LFW,lfw_12481,Frank Marshall,0,FaceGuard,0.047058823529411764,35,0.125,-0.8694194555282593,33.3919776292758,0.8364416504583022,0.37401652336120605,True,-0.8095544576644897,-0.816616952419281,-0.8631206750869751,True,1.4295208752155304
LFW,lfw_09212,Wang Yingfan,0,FaceGuard,0.047058823529411764,35,0.125,-0.9123064279556274,33.47707348432092,0.8546340187546239,0.3684912323951721,True,-0.902315616607666,-0.8740058541297913,-0.9026480913162231,True,1.4295208752155304
LFW,lfw_02429,Tippi Hedren,0,FaceGuard,0.047058823529411764,35,0.125,-0.8859847187995911,32.826995184083415,0.8630892808110042,0.24706465005874634,True,-0.7994327545166016,-0.7572392225265503,-0.8724138140678406,True,1.4295208752155304
LFW,lfw_12953,Juan Carlos Ferrero,0,FaceGuard,0.047058823529411764,35,0.125,-0.9402223825454712,33.318349331750156,0.8722537162154449,0.3018245995044708,True,-0.9274551868438721,-0.9077698588371277,-0.9404849410057068,True,1.4295208752155304
